director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,duration,budget,facenumber_in_poster,imdb_score,director_name,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,actor_2_name,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,color,title_year,num_critic_for_reviews,aspect_ratio,movie_facebook_likes
0,0,0,0,76,1400,0,6.3,Benjamin Roberds,,Drama|Horror|Thriller,Eva Boehnke,A Plague So Pleasant ,38,0,David Chandler,Maxwell Moody,,http://www.imdb.com/title/tt2107644/?ref_=fn_tt_tt_1,3,English,USA,,Color,2013,13,,16
0,0,0,0,80,7000,0,6.3,Neill Dela Llana,70071,Thriller,Ian Gamazon,Cavite ,589,0,Quynn Ton,Edgar Tancangco,jihad|mindanao|philippines|security guard|squatter,http://www.imdb.com/title/tt0428303/?ref_=fn_tt_tt_1,35,English,Philippines,Not Rated,Color,2005,35,,74
0,147,19,4,60,15000,0,7.4,Jim Chuchu,,Drama,Paul Ogola,Stories of Our Lives ,70,170,Mugambi Nthiga,Olwenya Maina,,http://www.imdb.com/title/tt3973612/?ref_=fn_tt_tt_1,1,Swahili,Kenya,, Black and White,2014,6,,45
0,313,25,9,90,25000,2,4.8,Joseph Mazzella,,Crime|Drama|Thriller,Tjasa Ferme,Dutch Kills ,57,366,Damon Owlia,Mikaal Bates,,http://www.imdb.com/title/tt2759066/?ref_=fn_tt_tt_1,2,English,USA,,Color,2015,,,33
0,1000,184,153,87,60000,0,5.3,Myles Berkowitz,536767,Biography|Comedy|Romance,Tia Carrere,20 Dates ,1622,1362,Robert McKee,Tom Ardavany,fake documentary|hidden camera|mockumentary|narrative|reality show,http://www.imdb.com/title/tt0138987/?ref_=fn_tt_tt_1,83,English,USA,R,Color,1998,32,1.85,30
0,2900,1500,883,95,75000,0,5,Kirk Loudon,,Drama|Sci-Fi|Thriller,Tracey Birdsall,Dawn of the Crescent Moon ,34,7018,Barry Corbin,Edward Hong,,http://www.imdb.com/title/tt3157318/?ref_=fn_tt_tt_1,2,English,USA,,Color,2014,3,,87
0,267,87,46,75,100000,2,6.8,Wade Gasque,,Drama,Ty Parker,Tiger Orange ,683,488,Loanne Bishop,Vincent Duvall,coming out|father son relationship|gay|gay brother|toilet sex,http://www.imdb.com/title/tt2866824/?ref_=fn_tt_tt_1,8,English,USA,Unrated,Color,2014,13,1.78,182
0,45,0,0,77,100000,0,7.6,Jason Miller,,Biography|Documentary|Music,Jon Brion,The Past is a Grotesque Animal ,80,45,David Barnes,Dottie Alexander,artist|band|male rear nudity|sexuality|stage,http://www.imdb.com/title/tt3072636/?ref_=fn_tt_tt_1,1,English,USA,Unrated,Color,2014,5,1.78,82
0,416,18,10,81,100000,2,3.6,Patrick Ryan Sims,,Action|Drama|Sci-Fi|Thriller,Claire Gordon-Harper,Echo Dr. ,101,459,Johnathan Hurley,Hugh Mun,android|artificial intelligence|home invasion|security system|tech noir,http://www.imdb.com/title/tt2343473/?ref_=fn_tt_tt_1,1,English,USA,,Color,2013,5,1.78,17
0,12,12,0,93,100000,0,4,Al Silliman Jr.,,Comedy|Drama,Christina Hart,The Stewardesses ,161,24,William Condos,Nancy Ison,female frontal nudity|female nudity|lesbian sex|lesbianism|sex,http://www.imdb.com/title/tt0168192/?ref_=fn_tt_tt_1,5,English,USA,X,Color,1969,21,1.37,17
