loanId,memberId,yearsEmployment,homeOwnership,annualIncome,dtiRatio,lengthCreditHistory,numTotalCreditLines,numOpenCreditLines,numOpenCreditLines1Year,revolvingBalance,revolvingUtilizationRate,numDerogatoryRec,numDelinquency2Years,numChargeoff1year,numInquiries6Mon,isJointApplication,loanAmount,term,interestRate,monthlyPayment,grade,loanStatus
1821279,2124878,1.0,1,47946,27.06,9,9,5.0,5,14027,75.35,15,0,0,1,0.0,17101.0,60,18.01,434,D3,0
1891878,2248022,0.5,1,51844,21.72,10,17,15.0,11,12544,77.54,0,0,0,0,0.0,23785.0,36,13.1,803,B3,0
1267133,2876501,0.5,0,54799,22.16,3,15,11.0,10,13012,83.94,0,0,0,2,0.0,14246.0,48,14.93,396,E3,0
1374863,2027352,8.0,2,52317,12.69,37,10,7.0,6,16751,77.44,15,11,11,3,0.0,17298.0,48,7.07,415,C1,0
1679646,2486530,1.0,1,53036,24.3,4,21,19.0,10,12349,100.0,0,0,0,0,0.0,23014.0,36,9.0,732,E1,0
1784502,2754509,12.0,2,51731,28.09,1,18,15.0,9,11173,84.03,1,1,1,12,0.0,20210.0,36,15.42,705,E1,0
1074245,2457605,1.0,2,50941,24.57,4,18,13.0,8,15538,49.09,0,0,0,0,0.0,25399.0,60,12.0,565,C2,0
1006589,2217761,0.5,2,56609,23.53,2,23,12.0,8,11471,57.23,0,0,0,0,0.0,21308.0,36,12.43,712,D3,0
1438992,2709990,0.5,2,53537,13.42,30,20,16.0,10,15509,66.53,0,1,1,1,0.0,19979.0,60,8.68,412,E3,0
1447605,2849528,0.5,1,50042,22.34,8,21,11.0,7,11742,65.56,9,0,0,0,0.0,22562.0,48,4.81,518,E1,0
1246285,2003546,1.0,1,52122,22.25,23,15,9.0,6,17191,62.77,0,3,2,0,0.0,18233.0,48,11.05,472,D3,0
1433257,2847097,1.0,0,48277,14.6,2,21,21.0,19,12959,49.68,1,0,0,16,0.0,25573.0,60,8.39,523,D2,0
1317921,2467433,3.0,1,59278,21.67,3,18,15.0,8,11742,42.39,0,1,1,0,0.0,18496.0,48,8.58,457,E3,0
1812572,2063286,12.0,2,52467,14.01,3,13,10.0,9,15685,70.67,7,0,0,1,0.0,25877.0,36,18.22,938,D2,0
1367710,2405857,8.0,1,51680,24.47,6,15,8.0,6,11831,59.27,0,0,0,0,0.0,25266.0,60,21.67,693,D2,0
1865119,2194351,8.0,2,51363,24.83,1,14,9.0,6,13279,56.46,0,0,0,1,0.0,23030.0,60,18.1,586,A3,0
1138627,2637311,0.5,0,45436,13.61,1,19,13.0,9,14923,71.13,9,0,0,0,0.0,24105.0,36,5.5,728,C2,0
1682560,2222916,12.0,2,54719,17.17,4,12,6.0,4,13181,74.74,0,0,0,1,1.0,23639.0,36,21.53,897,C2,0
1484603,2547515,8.0,2,51617,21.77,2,17,9.0,5,11222,58.22,0,6,5,1,0.0,29887.0,48,16.43,854,D3,0
1570031,2282879,12.0,1,51877,14.95,5,13,8.0,7,14793,84.75,0,0,0,3,0.0,19484.0,36,13.39,660,E2,0
1039029,2110188,1.0,1,49682,21.76,5,14,11.0,9,17841,94.35,0,3,3,1,0.0,22040.0,60,7.61,443,C2,0
1494665,2279832,8.0,2,52026,23.41,4,18,14.0,13,20396,80.67,0,0,0,2,0.0,24112.0,36,13.69,820,D3,0
1379164,2692508,12.0,1,48880,11.6,3,15,11.0,10,10552,62.53,0,0,0,1,0.0,29661.0,48,12.11,783,A2,0
1515531,2778552,1.0,2,50962,25.53,1,15,9.0,8,11989,50.07,0,0,0,1,0.0,24661.0,36,18.55,898,E1,0
1579914,2792341,8.0,2,53710,16.73,9,13,9.0,8,14689,55.21,0,0,0,0,0.0,29622.0,36,20.12,1103,D3,0
1670427,2143112,8.0,2,53975,21.08,2,18,14.0,12,13128,36.2,0,0,0,0,0.0,22016.0,36,6.46,674,A1,0
